Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1690899091.6295533,17503,1690899091,629488254,world,3.5795300006866455,3.737774610519409,0.292708158493042,0.009612848050892353,0.003393456805497408,-0.024990148842334747,-0.9996358156204224
1690899091.6395273,17504,1690899091,639474564,world,3.580137014389038,3.7380166053771973,0.29219579696655273,0.008608204312622547,-0.005057511385530233,-0.026336848735809326,-0.9996033310890198
1690899091.6495745,17505,1690899091,649500259,world,3.5794920921325684,3.7378742694854736,0.29257965087890625,0.008534763939678669,0.002605269430205226,-0.026069242507219315,-0.9996203184127808
1690899091.659568,17506,1690899091,659493536,world,3.579169988632202,3.7375662326812744,0.2927464544773102,0.00863011833280325,0.005323215387761593,-0.02456667087972164,-0.999646782875061
1690899091.669545,17507,1690899091,669491443,world,3.5789589881896973,3.737464427947998,0.29268673062324524,0.008181127719581127,0.005778051447123289,-0.024391403421759605,-0.9996523261070251
1690899091.6795838,17508,1690899091,679495171,world,3.5789594650268555,3.7373147010803223,0.29253554344177246,0.0074746571481227875,0.0051260171458125114,-0.024425460025668144,-0.9996605515480042
1690899091.6895304,17509,1690899091,689464701,world,3.57924485206604,3.737154722213745,0.292495995759964,0.009294654242694378,0.0004878772306255996,-0.027010375633835793,-0.9995918273925781
1690899091.6995957,17510,1690899091,699502434,world,3.578594446182251,3.7372851371765137,0.2923356294631958,0.006315954029560089,0.00630554324015975,-0.02423642762005329,-0.9996664524078369
1690899091.7096472,17511,1690899091,709501841,world,3.578702449798584,3.737335205078125,0.29187285900115967,0.0077330367639660835,0.0051492201164364815,-0.021493572741746902,-0.9997258186340332
1690899091.7195354,17512,1690899091,719457811,world,3.5787315368652344,3.7371926307678223,0.29165396094322205,0.009211534634232521,0.0013110199943184853,-0.019981708377599716,-0.9997571110725403
1690899091.729547,17513,1690899091,729486247,world,3.579169273376465,3.7374539375305176,0.2912401854991913,0.0045454492792487144,-0.01193555910140276,-0.023760618641972542,-0.9996361136436462
1690899091.7395926,17514,1690899091,739492006,world,3.5791196823120117,3.7374536991119385,0.2910698354244232,0.005351850297302008,-0.00995129719376564,-0.02629486843943596,-0.9995903968811035
1690899091.7495823,17515,1690899091,749506659,world,3.5778353214263916,3.7373459339141846,0.29158490896224976,0.0066810487769544125,0.0011077711824327707,-0.022763699293136597,-0.9997179508209229
1690899091.7595499,17516,1690899091,759486062,world,3.578544855117798,3.7373437881469727,0.29102829098701477,0.004901628941297531,-0.01000633928924799,-0.023305922746658325,-0.9996662735939026
1690899091.7695515,17517,1690899091,769489626,world,3.5785012245178223,3.737356185913086,0.29077228903770447,0.004190841224044561,-0.01085957232862711,-0.02415069378912449,-0.9996405839920044
1690899091.7795634,17518,1690899091,779494210,world,3.57824444770813,3.7372026443481445,0.29073402285575867,0.005055134184658527,-0.008066120557487011,-0.023276573047041893,-0.9996837973594666
1690899091.7895148,17519,1690899091,789444938,world,3.577634334564209,3.737088680267334,0.29083940386772156,0.005171576980501413,-0.0020398013293743134,-0.024750981479883194,-0.9996781945228577
1690899091.7995288,17520,1690899091,799451280,world,3.577524423599243,3.737015724182129,0.2907738983631134,0.004945468623191118,-0.003250640584155917,-0.02413962222635746,-0.9996910691261292
1690899091.809567,17521,1690899091,809492232,world,3.5768721103668213,3.7367827892303467,0.2910209894180298,0.004575150553137064,0.0031678834930062294,-0.02271987497806549,-0.9997264742851257
1690899091.8195767,17522,1690899091,819493822,world,3.5765364170074463,3.7367331981658936,0.2911348044872284,0.00401840778067708,0.0044448478147387505,-0.023212317377328873,-0.9997125864028931
1690899091.8295424,17523,1690899091,829484219,world,3.5763773918151855,3.7365663051605225,0.2911103665828705,0.004228633362799883,0.004714298062026501,-0.022424234077334404,-0.9997285008430481
1690899091.8395429,17524,1690899091,839483334,world,3.576204776763916,3.7365176677703857,0.29114508628845215,0.004967705346643925,0.002991659566760063,-0.021642616018652916,-0.9997490048408508
1690899091.8495698,17525,1690899091,849489446,world,3.576026201248169,3.736449956893921,0.2911258637905121,0.004495423287153244,0.004323152359575033,-0.022017668932676315,-0.9997381567955017
1690899091.859551,17526,1690899091,859488112,world,3.5758447647094727,3.7364463806152344,0.29114556312561035,0.003902012947946787,0.0030326531268656254,-0.023187696933746338,-0.999718964099884
1690899091.8695807,17527,1690899091,869491951,world,3.5756311416625977,3.736384868621826,0.29114389419555664,0.0038252021186053753,0.0025450082030147314,-0.02312302216887474,-0.9997221231460571
1690899091.8795393,17528,1690899091,879482572,world,3.5761027336120605,3.7363107204437256,0.2909294068813324,0.0045058210380375385,-0.004685360938310623,-0.023349493741989136,-0.9997063279151917
1690899091.889595,17529,1690899091,889492585,world,3.5751640796661377,3.736055850982666,0.2914685010910034,0.005715602543205023,0.004036644008010626,-0.021920140832662582,-0.9997352957725525
1690899091.8996081,17530,1690899091,899489755,world,3.5760321617126465,3.7361888885498047,0.2907964587211609,0.004100012127310038,-0.01029178872704506,-0.022678885608911514,-0.9996814727783203
1690899091.9095602,17531,1690899091,909486095,world,3.5751454830169678,3.736037015914917,0.2910974621772766,0.00486751040443778,-0.0004972240421921015,-0.021372944116592407,-0.9997596740722656
